topic,term,prob
topic 3,solar,0.0046384192176563725
topic 3,level,0.004497020996591392
topic 3,research,0.004291936661758936
topic 3,paper,0.004170767761656616
topic 3,factors,0.0037082239043104252
topic 3,indicators,0.0036987327310460463
topic 3,satellite,0.003554240529261702
topic 3,sustainable,0.0035140655616440405
topic 3,power,0.0031831930045671383
topic 3,regional,0.003165438302712361
topic 3,policy,0.003106523453629307
topic 3,built,0.002801312248407367
topic 3,scale,0.0027883402685215564
topic 3,management,0.002781173663137339
topic 3,local,0.0027046344231411727
topic 3,urbanization,0.0026462315573327956
topic 3,remote,0.002640827522726813
topic 3,spaces,0.0026181866855451525
topic 3,residential,0.002574511088944337
topic 3,model,0.0025253428657573285
topic 3,information,0.0025083541794899125
topic 3,environment,0.002504638468929237
topic 3,income,0.002459142288706508
topic 3,china,0.002444030555870347
topic 3,impact,0.002441091777211118
topic 3,significant,0.0023465105116078654
topic 3,public,0.0023369838001936535
topic 3,assessment,0.002329460372419717
topic 3,sensing,0.0023200188318070985
topic 3,land,0.00231715180468321
topic 3,methodology,0.0023063728767531125
topic 3,rural,0.002270735620569705
topic 3,developed,0.0022520708894121547
topic 3,countries,0.00223495717836761
topic 3,findings,0.0022154569929377682
topic 3,index,0.0022074884701910593
topic 3,density,0.0021865851797825656
topic 3,design,0.002175568014708032
topic 3,related,0.0021541887851540893
topic 3,approach,0.0021466432647870167
topic 3,developing,0.0021180896697991737
topic 3,studies,0.0020977957480501045
topic 3,health,0.0020925646212785346
topic 3,ugs,0.0020798021680307447
topic 3,decision,0.002073728462975323
topic 3,proposed,0.0020367208101012527
topic 3,building,0.002008441421106111
topic 3,distribution,0.001970732613374958
topic 3,quality,0.0019345712867624742
topic 3,benefit,0.0019132947868669469
topic 3,consumption,0.0019015856236746839
topic 3,effect,0.0018922645584288293
topic 3,indicator,0.0018818703543157854
topic 3,expansion,0.0018648733376735332
topic 3,investment,0.001862463252457741
topic 3,criteria,0.0018541333703657147
topic 3,potential,0.0018385755351714489
topic 3,implications,0.0018319204684002822
topic 3,framework,0.0018167983839136451
topic 3,multi,0.0018093531062464633
topic 3,market,0.0017604321166107626
topic 3,output,0.0017455054245491869
topic 3,total,0.0017340586995619272
topic 3,cost,0.0016976648551231964
topic 3,performance,0.001696902993618126
topic 3,suitability,0.0016768108911574722
topic 3,economy,0.0016695386627195979
