doc_id,topic,prob
28,topic 10,5.211741613440477e-4
29,topic 1,7.313546038457485e-4
29,topic 2,7.313531539975366e-4
29,topic 3,7.31354034913867e-4
29,topic 4,0.5207581125374778
29,topic 5,7.313521555159454e-4
29,topic 6,7.31353147551948e-4
29,topic 7,0.16968419497607404
29,topic 8,0.2534866938498486
29,topic 9,7.313525305078347e-4
29,topic 10,0.0516828790102666
30,topic 1,3.6701825712309505e-4
30,topic 2,0.3853866471928011
30,topic 3,3.6701884210645335e-4
30,topic 4,3.6701812205835603e-4
30,topic 5,3.670188378717679e-4
30,topic 6,3.6701845850517907e-4
30,topic 7,3.670180846930049e-4
30,topic 8,0.13297221998381875
30,topic 9,0.47907200438181546
30,topic 10,3.670178392068404e-4
31,topic 1,4.3468955944701333e-4
31,topic 2,4.346906543159667e-4
31,topic 3,0.16243960438735158
31,topic 4,4.34689582982713e-4
31,topic 5,0.8340828746354584
31,topic 6,4.3469077987104003e-4
31,topic 7,4.3468959655545736e-4
31,topic 8,4.3469084019244437e-4
31,topic 9,4.346906247935367e-4
31,topic 10,4.3468933903182625e-4
32,topic 1,7.238691176276845e-4
32,topic 2,0.619797569137726
32,topic 3,7.238707554971404e-4
32,topic 4,7.238670101786972e-4
32,topic 5,0.24669099030695693
32,topic 6,7.238677203026875e-4
32,topic 7,7.238702142561203e-4
32,topic 8,7.238671697461208e-4
32,topic 9,7.238682192360962e-4
32,topic 10,0.12844436034847248
33,topic 1,0.23545881746288216
33,topic 2,4.3737801824101887e-4
33,topic 3,4.3737741057240905e-4
33,topic 4,4.373778638383606e-4
33,topic 5,4.373783304087286e-4
33,topic 6,4.373774647179108e-4
33,topic 7,0.6981463801110017
33,topic 8,0.042277465310407235
33,topic 9,4.3737843180747393e-4
33,topic 10,0.021493069596122953
34,topic 1,5.717309385999081e-4
34,topic 2,0.46222626500180247
34,topic 3,0.22411217276791748
34,topic 4,5.717292128862951e-4
34,topic 5,5.717298811116176e-4
34,topic 6,5.717295199336882e-4
34,topic 7,0.2455195835666262
34,topic 8,0.06471159789253013
34,topic 9,5.717311537615901e-4
34,topic 10,5.717300648305953e-4
35,topic 1,5.717315503806607e-4
35,topic 2,5.717295626083524e-4
35,topic 3,5.717321755504302e-4
35,topic 4,5.717300560549657e-4
